                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92109,                 1.5194,                 1.1674,                0.35107,                 0.5463,                0.37371,                0.24997,                 1.1522,                 1.5297,                 1.3403,             0.00041574,             0.00041574,             0.00041574
                      2,                0.92414,                 1.1356,                 1.1291,                0.36835,                0.55941,                0.42814,                0.30084,                 1.1264,                 1.1931,                 1.2866,             0.00080494,             0.00080494,             0.00080494
                      3,                0.91749,                 1.0638,                  1.128,                0.48989,                0.48688,                0.46506,                 0.3256,                 1.0571,                 1.0529,                 1.2484,              0.0011666,              0.0011666,              0.0011666
                      4,                0.87195,                0.99839,                 1.1041,                0.56835,                0.49988,                0.49245,                0.35235,                 1.0141,                0.97916,                 1.2127,              0.0011263,              0.0011263,              0.0011263
                      5,                0.83896,                0.94347,                 1.0878,                0.45265,                0.58639,                0.48813,                0.34976,                 1.0521,                0.93602,                 1.2524,               0.001085,               0.001085,               0.001085
                      6,                 0.8143,                 0.8878,                 1.0757,                0.49636,                0.54474,                0.50134,                0.36603,                0.99131,                0.94902,                 1.1998,              0.0010438,              0.0010438,              0.0010438
                      7,                0.78327,                0.86306,                 1.0579,                0.48074,                0.58058,                0.51518,                0.37315,                 1.0175,                0.88379,                 1.2218,              0.0010025,              0.0010025,              0.0010025
                      8,                0.76963,                0.83199,                 1.0531,                0.57488,                0.55633,                0.52383,                0.39289,                0.94378,                0.83346,                 1.1718,             0.00096125,             0.00096125,             0.00096125
                      9,                0.75283,                0.81314,                  1.045,                0.57378,                0.54783,                0.54288,                0.39693,                0.93879,                 0.8617,                 1.1638,                0.00092,                0.00092,                0.00092
                     10,                0.74482,                0.78833,                 1.0368,                0.61024,                0.55413,                0.54586,                 0.3941,                0.98303,                0.82724,                 1.1991,             0.00087875,             0.00087875,             0.00087875
                     11,                0.72945,                0.77056,                 1.0289,                0.51753,                0.58376,                0.54755,                0.40807,                0.92397,                0.83301,                 1.1531,              0.0008375,              0.0008375,              0.0008375
                     12,                0.72269,                0.75804,                 1.0268,                0.57713,                0.57531,                0.55203,                0.40914,                 0.9108,                0.84561,                 1.1328,             0.00079625,             0.00079625,             0.00079625
                     13,                0.69747,                0.73716,                 1.0193,                0.67234,                0.58179,                0.56714,                0.42392,                0.90669,                0.81421,                 1.1376,               0.000755,               0.000755,               0.000755
                     14,                0.70006,                0.73932,                  1.021,                0.59228,                0.57241,                0.56466,                0.42398,                0.91458,                0.78771,                 1.1547,             0.00071375,             0.00071375,             0.00071375
                     15,                0.69721,                0.73061,                  1.019,                0.59047,                 0.5691,                0.55963,                 0.4222,                0.89907,                0.82869,                  1.135,              0.0006725,              0.0006725,              0.0006725
                     16,                0.68395,                0.70258,                 1.0072,                0.57715,                0.54937,                0.56383,                0.42547,                0.92084,                0.86764,                 1.1357,             0.00063125,             0.00063125,             0.00063125
                     17,                0.67536,                0.70899,                   1.01,                0.63728,                0.57601,                0.58041,                0.44185,                0.88176,                0.80206,                 1.1137,                0.00059,                0.00059,                0.00059
                     18,                0.66871,                0.69215,                 1.0019,                0.63457,                0.55446,                0.57862,                0.43867,                0.91491,                0.79294,                 1.1456,             0.00054875,             0.00054875,             0.00054875
                     19,                0.65827,                 0.6744,                0.99888,                0.64097,                0.56637,                 0.5848,                0.44299,                0.88463,                0.81274,                 1.1192,              0.0005075,              0.0005075,              0.0005075
                     20,                0.65941,                0.66253,                 1.0031,                0.62275,                0.58094,                0.58621,                0.45301,                0.87185,                0.85102,                 1.1163,             0.00046625,             0.00046625,             0.00046625
                     21,                0.62152,                0.62436,                0.98673,                0.63248,                0.57297,                0.59502,                0.45247,                0.88835,                 0.7875,                 1.1215,               0.000425,               0.000425,               0.000425
                     22,                0.61279,                0.60684,                 0.9823,                0.62885,                0.58815,                0.59557,                0.45284,                0.87998,                0.78322,                 1.1199,             0.00038375,             0.00038375,             0.00038375
                     23,                0.59759,                0.58917,                0.97187,                 0.6402,                0.60315,                0.59936,                0.45969,                0.88699,                0.77171,                   1.13,              0.0003425,              0.0003425,              0.0003425
                     24,                0.58854,                0.57709,                0.96624,                0.64618,                0.58339,                0.60536,                0.46633,                0.86081,                0.80684,                 1.1054,             0.00030125,             0.00030125,             0.00030125
                     25,                0.57708,                0.56449,                0.96312,                0.68464,                0.57634,                0.60473,                0.46852,                0.86666,                 0.7796,                 1.1127,                0.00026,                0.00026,                0.00026
                     26,                0.56352,                 0.5475,                0.95402,                0.70091,                0.58464,                0.61658,                0.47555,                0.86571,                0.74453,                 1.1168,             0.00021875,             0.00021875,             0.00021875
                     27,                0.55669,                 0.5339,                0.94782,                0.65694,                0.57584,                0.60195,                0.46394,                0.86334,                0.75006,                 1.1095,              0.0001775,              0.0001775,              0.0001775
                     28,                0.54397,                0.52358,                0.94758,                 0.6966,                0.58537,                0.61524,                0.47824,                0.84684,                0.74181,                 1.0997,             0.00013625,             0.00013625,             0.00013625
                     29,                0.53254,                0.50992,                0.93823,                0.70351,                0.58117,                0.61512,                0.48032,                0.84496,                0.76306,                 1.1015,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                 0.5274,                0.50066,                0.93598,                0.67135,                0.59207,                0.62419,                0.48648,                0.84929,                0.74659,                 1.1039,              5.375e-05,              5.375e-05,              5.375e-05
